WARNING 2026-02-11 08:09:18,638 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:09:19,862 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:09:19,865 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:09:19,866 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:09:19,867 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:09:19,868 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:09:19,869 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:09:19,894 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:09:19,895 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:10:00,655 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:10:00,658 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:00,660 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:10:00,661 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:00,661 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:00,662 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:10:00,680 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:10:00,681 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:10:01,545 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:10:01,549 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:01,550 log 15168 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-02-11 08:10:01,551 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:01,553 log 15168 Not Found: /static/admin/css/login.css
WARNING 2026-02-11 08:10:01,554 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:01,574 log 15168 Not Found: /static/admin/js/theme.js
WARNING 2026-02-11 08:10:01,574 log 15168 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-02-11 08:10:04,588 log 15168 Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-02-11 08:10:04,591 log 15168 Not Found: /static/admin/css/base.css
WARNING 2026-02-11 08:10:04,592 log 15168 Not Found: /static/admin/css/responsive.css
WARNING 2026-02-11 08:10:04,593 log 15168 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-02-11 08:10:04,594 log 15168 Not Found: /static/admin/css/login.css
